"variable" "relative_importance" "scaled_importance" "percentage"
"119" "FXYD1" 0.950405478477478 0.950405478477478 0.00204774137850556
"120" "LOX" 0.950358271598816 0.950358271598816 0.00204763966667732
"121" "MUC16" 0.950307130813599 0.950307130813599 0.00204752947886339
"122" "IL18R1" 0.950197160243988 0.950197160243988 0.00204729253653624
"123" "CPB1" 0.950149178504944 0.950149178504944 0.00204718915519566
"124" "CD1C" 0.950100421905518 0.950100421905518 0.00204708410434276
"125" "SLC3A1" 0.950059354305267 0.950059354305267 0.00204699562018915
"126" "SLC28A3" 0.949706852436066 0.949706852436066 0.002046236120502
"127" "SCN2A" 0.949586451053619 0.949586451053619 0.00204597670397038
"128" "SERPINA3" 0.949215173721313 0.949215173721313 0.00204517675071518
"129" "RBBP5" 0.949096739292145 0.949096739292145 0.0020449215721764
"130" "LRRC15" 0.94908344745636 0.94908344745636 0.0020448929336187
"131" "RAB38" 0.949049532413483 0.949049532413483 0.00204481986034816
"132" "ECM2" 0.94892156124115 0.94892156124115 0.00204454413396529
"133" "CDH19" 0.948911070823669 0.948911070823669 0.00204452153133679
"134" "MNDA" 0.948867082595825 0.948867082595825 0.00204442675440593
"135" "OLFM4" 0.948663413524628 0.948663413524628 0.0020439879295106
"136" "NPY1R" 0.948337078094482 0.948337078094482 0.00204328480797067
"137" "HOXC6" 0.948114573955536 0.948114573955536 0.00204280540108327
"138" "DPEP1" 0.948094129562378 0.948094129562378 0.0020427613516425
"139" "EDIL3" 0.947895526885986 0.947895526885986 0.00204233344278934
"140" "HSF2" 0.947663962841034 0.947663962841034 0.00204183451545005
"141" "PLA1A" 0.947648823261261 0.947648823261261 0.00204180189574756
"142" "SIDT1" 0.947639286518097 0.947639286518097 0.00204178134790347
"143" "SLCO5A1" 0.947590351104736 0.947590351104736 0.00204167591177849
"144" "DKK2" 0.947488963603973 0.947488963603973 0.00204145746251102
"145" "F10" 0.946856617927551 0.946856617927551 0.00204009501202388
"146" "CLCA2" 0.946855664253235 0.946855664253235 0.00204009295723947
"147" "SDC2" 0.946549952030182 0.946549952030182 0.00203943427041239
"148" "CST7" 0.946486294269562 0.946486294269562 0.0020392971135531
"149" "SST" 0.946445107460022 0.946445107460022 0.00203920837255144
"150" "GAB1" 0.946437418460846 0.946437418460846 0.00203919180585214
"151" "KCNA5" 0.946372389793396 0.946372389793396 0.00203905169524026
"152" "A1CF" 0.946306884288788 0.946306884288788 0.00203891055723617
"153" "DLX5" 0.946232676506042 0.946232676506042 0.00203875066932435
"154" "KCNK3" 0.946201205253601 0.946201205253601 0.00203868286143886
"155" "SIGLEC9" 0.946096420288086 0.946096420288086 0.00203845709200193
"156" "KRT5" 0.945870101451874 0.945870101451874 0.00203796946597689
"157" "NR0B2" 0.945854008197784 0.945854008197784 0.00203793479148998
"158" "LYVE1" 0.945565402507782 0.945565402507782 0.00203731296235824
"159" "KCNMB2" 0.945221304893494 0.945221304893494 0.0020365715704587
"160" "KPNA5" 0.945142209529877 0.945142209529877 0.00203640115177678
"161" "CDH17" 0.945023119449615 0.945023119449615 0.00203614456057372
"162" "SOX11" 0.944941341876984 0.944941341876984 0.00203596836281065
"163" "GPR183" 0.944889783859253 0.944889783859253 0.00203585727602855
"164" "FABP4" 0.944815635681152 0.944815635681152 0.00203569751654075
"165" "LIFR" 0.944749176502228 0.944749176502228 0.00203555432375226
"166" "C5" 0.944636464118958 0.944636464118958 0.00203531147391993
"167" "LTF" 0.94458419084549 0.94458419084549 0.00203519884604951
"168" "MMP13" 0.944579005241394 0.944579005241394 0.00203518767315929
"169" "LRP12" 0.944379806518555 0.944379806518555 0.00203475848006588
"170" "SNAI2" 0.944325685501099 0.944325685501099 0.00203464187105067
"171" "COL6A1" 0.944325268268585 0.944325268268585 0.00203464097208249
"172" "CES1" 0.944237530231476 0.944237530231476 0.00203445193191687
"173" "CD69" 0.944192469120026 0.944192469120026 0.00203435484335355
"174" "NAV3" 0.944163620471954 0.944163620471954 0.00203429268612518
"175" "CPA2" 0.944087743759155 0.944087743759155 0.00203412920234065
"176" "CHL1" 0.943909764289856 0.943909764289856 0.00203374572820033
"177" "FMO5" 0.943892657756805 0.943892657756805 0.002033708870505
"178" "ADAMTS8" 0.943832516670227 0.943832516670227 0.00203357929066321
"179" "SERPINB4" 0.943364679813385 0.943364679813385 0.00203257129048661
"180" "GAS1" 0.943263649940491 0.943263649940491 0.00203235361176329
"181" "F2RL2" 0.943230390548706 0.943230390548706 0.00203228195115703
"182" "NEUROD1" 0.943048179149628 0.943048179149628 0.00203188935891091
"183" "RYR3" 0.943028151988983 0.943028151988983 0.00203184620843832
"184" "ADAM12" 0.942968189716339 0.942968189716339 0.00203171701386861
"185" "IL33" 0.942789912223816 0.942789912223816 0.00203133289760817
"186" "EPHA7" 0.942433059215546 0.942433059215546 0.00203056402296715
"187" "ABCA8" 0.942370176315308 0.942370176315308 0.00203042853562019
"188" "ELOVL4" 0.942250669002533 0.942250669002533 0.00203017104544895
"189" "MCF2L2" 0.942244410514832 0.942244410514832 0.00203015756092627
"190" "PDK4" 0.942092776298523 0.942092776298523 0.00202983085020525
"191" "ACTA2" 0.942069470882416 0.942069470882416 0.00202978063641126
"192" "NR1H4" 0.942068934440613 0.942068934440613 0.00202977948059503
"193" "TDRD1" 0.94186943769455 0.94186943769455 0.00202934964538149
"194" "PTPRD" 0.941671669483185 0.941671669483185 0.00202892353446469
"195" "HEY2" 0.941631674766541 0.941631674766541 0.00202883736194354
"196" "BIN2" 0.941378176212311 0.941378176212311 0.00202829117456284
"197" "RHOBTB3" 0.941326498985291 0.941326498985291 0.00202817983093269
"198" "PDLIM3" 0.94132524728775 0.94132524728775 0.00202817713402815
"199" "GNAQ" 0.941294312477112 0.941294312477112 0.00202811048195888
"200" "HAVCR1" 0.941153645515442 0.941153645515442 0.00202780740125857
"201" "MGAM" 0.94092583656311 0.94092583656311 0.00202731656463289
"202" "CCR1" 0.940864980220795 0.940864980220795 0.0020271854437028
"203" "MME" 0.940856039524078 0.940856039524078 0.00202716618009896
"204" "AOAH" 0.940818607807159 0.940818607807159 0.00202708552981091
"205" "CHGB" 0.94068431854248 0.94068431854248 0.00202679619048133
"206" "SAMHD1" 0.940578937530518 0.940578937530518 0.00202656913680415
"207" "LILRA2" 0.940423130989075 0.940423130989075 0.00202623343640134
"208" "LPAR1" 0.940203011035919 0.940203011035919 0.00202575916647496
"209" "NKX2.2" 0.939961493015289 0.939961493015289 0.0020252387923234
"210" "ART4" 0.93966269493103 0.93966269493103 0.00202459500268328
"211" "SLC26A3" 0.939537882804871 0.939537882804871 0.00202432608277377
"212" "CPS1" 0.939311623573303 0.939311623573303 0.00202383858517275
"213" "IBSP" 0.939306437969208 0.939306437969208 0.00202382741228253
"214" "SH3GL2" 0.939176499843597 0.939176499843597 0.00202354744790681
"215" "HSPA4L" 0.93903774023056 0.93903774023056 0.00202324847677531
"216" "ADH1C" 0.93865567445755 0.93865567445755 0.00202242527877149
"217" "MTMR7" 0.938571572303772 0.938571572303772 0.00202224407247143
"218" "CCL13" 0.938534080982208 0.938534080982208 0.00202216329375936
"219" "ST8SIA1" 0.938484728336334 0.938484728336334 0.00202205695866619
"220" "HS3ST2" 0.938481032848358 0.938481032848358 0.00202204899637661
"221" "FMO3" 0.938446223735809 0.938446223735809 0.00202197399674568
"222" "FMO2" 0.938315153121948 0.938315153121948 0.00202169159231348
"223" "ARHGAP15" 0.938191115856171 0.938191115856171 0.0020214243419163
"224" "COX10" 0.938120305538177 0.938120305538177 0.00202127177417394
"225" "PDGFRL" 0.938085854053497 0.938085854053497 0.00202119754508717
"226" "KLK7" 0.938001692295074 0.938001692295074 0.00202101621036308
"227" "PTPRN" 0.937998294830322 0.937998294830322 0.00202100889019362
"228" "DDO" 0.937860429286957 0.937860429286957 0.00202071184542251
"229" "PRG4" 0.937854170799255 0.937854170799255 0.00202069836089983
"230" "MDN1" 0.937817394733429 0.937817394733429 0.00202061912327606
"231" "PRF1" 0.937756776809692 0.937756776809692 0.00202048851604206
"232" "AKR1B10" 0.937653481960297 0.937653481960297 0.00202026595720577
"233" "GJB5" 0.937380850315094 0.937380850315094 0.00201967854571288
"234" "KCNK13" 0.937278211116791 0.937278211116791 0.00201945739954087
"235" "PROX1" 0.937085628509521 0.937085628509521 0.00201904246151429
"236" "CALB1" 0.937076449394226 0.937076449394226 0.00201902268421435
"237" "GRB14" 0.93702632188797 0.93702632188797 0.00201891467960886
"238" "SERPINI1" 0.936953246593475 0.936953246593475 0.00201875723175353
"239" "CXCL11" 0.936824202537537 0.936824202537537 0.0020184791937382
"240" "ITGA4" 0.936815142631531 0.936815142631531 0.00201845967328631
"241" "ARL15" 0.936567544937134 0.936567544937134 0.00201792619988415
"242" "CTRC" 0.936482429504395 0.936482429504395 0.00201774281037565
"243" "HOMER2" 0.936416804790497 0.936416804790497 0.00201760141552351
"244" "SRGN" 0.936375975608826 0.936375975608826 0.00201751344506601
"245" "RGS17" 0.936360538005829 0.936360538005829 0.00201748018324339
"246" "COLEC12" 0.936344504356384 0.936344504356384 0.00201744563718051
"247" "CLPS" 0.936265885829926 0.936265885829926 0.0020172762458908
"248" "IAPP" 0.935846030712128 0.935846030712128 0.00201637162705478
"249" "CTRB2" 0.93563985824585 0.93563985824585 0.00201592740835038
"250" "SLC15A1" 0.935601711273193 0.935601711273193 0.00201584521697402
"251" "SERPINE2" 0.935524225234985 0.935524225234985 0.00201567826574079
"252" "ST8SIA3" 0.935510396957397 0.935510396957397 0.00201564847136687
"253" "SLC4A10" 0.935481548309326 0.935481548309326 0.0020155863141385
"254" "RFXAP" 0.935477197170258 0.935477197170258 0.00201557693918463
"255" "STMN2" 0.935241341590881 0.935241341590881 0.0020150687653155
"256" "NR3C2" 0.93496698141098 0.93496698141098 0.00201447762952586
"257" "CXCL6" 0.934887647628784 0.934887647628784 0.00201430669714784
"258" "C8orf33" 0.934875845909119 0.934875845909119 0.00201428126919078
"259" "SFRP4" 0.934777975082397 0.934777975082397 0.00201407039694082
"260" "ITK" 0.93459540605545 0.93459540605545 0.00201367703415054
"261" "P2RY13" 0.934559106826782 0.934559106826782 0.00201359882391897
"262" "CRISP3" 0.934212803840637 0.934212803840637 0.00201285268033048
"263" "RSBN1" 0.933859407901764 0.933859407901764 0.00201209125428296
"264" "PCSK1" 0.933782398700714 0.933782398700714 0.00201192533044194
"265" "ISL1" 0.933638095855713 0.933638095855713 0.00201161441587606
"266" "FCER1A" 0.933304607868195 0.933304607868195 0.00201089588345307
"267" "CEP97" 0.933184146881104 0.933184146881104 0.00201063633849742
"268" "IL1B" 0.933097362518311 0.933097362518311 0.00201044935311621
"269" "PRKAA2" 0.933061897754669 0.933061897754669 0.002010372940821
"270" "PIGN" 0.932914435863495 0.932914435863495 0.00201005521978177
"271" "SCG5" 0.932476580142975 0.932476580142975 0.00200911181689003
"272" "ANKRD40" 0.932444453239441 0.932444453239441 0.00200904259634025
"273" "GREB1" 0.932292938232422 0.932292938232422 0.00200871614246729
"274" "TCN1" 0.932177305221558 0.932177305221558 0.00200846699985771
"275" "P2RY14" 0.931701302528381 0.931701302528381 0.00200744140558961
"276" "C6" 0.931668341159821 0.931668341159821 0.00200737038710347
"277" "KRT6B" 0.931428372859955 0.931428372859955 0.00200685335197658
"278" "PIGR" 0.931396484375 0.931396484375 0.00200678464512291
"279" "ADRB1" 0.931100785732269 0.931100785732269 0.00200614753353212
"280" "PCOLCE2" 0.930890321731567 0.930890321731567 0.00200569406829788
"281" "ONECUT2" 0.930559396743774 0.930559396743774 0.00200498105810798
"282" "KLK1" 0.930472075939178 0.930472075939178 0.00200479291691054
"283" "EPHA3" 0.93043440580368 0.93043440580368 0.00200471175292639
"284" "MANEA" 0.930240988731384 0.930240988731384 0.00200429501696346
"285" "LMO3" 0.930051982402802 0.930051982402802 0.00200388778437841
"286" "FBXO4" 0.929856896400452 0.929856896400452 0.00200346745254277
"287" "RNASE6" 0.929499447345734 0.929499447345734 0.0020026972936615
"288" "PIWIL1" 0.929498255252838 0.929498255252838 0.00200269472518099
"289" "TCF21" 0.929327726364136 0.929327726364136 0.00200232730404387
"290" "SGPP1" 0.929239988327026 0.929239988327026 0.00200213826387825
"291" "C3" 0.929228961467743 0.929228961467743 0.00200211450543352
"292" "FAM8A1" 0.929157078266144 0.929157078266144 0.0020019596260587
"293" "LGALS4" 0.928982257843018 0.928982257843018 0.00200158295839174
"294" "OMD" 0.928855717182159 0.928855717182159 0.00200131031418548
"295" "SCG2" 0.928853571414948 0.928853571414948 0.00200130569092056
"296" "CLEC5A" 0.928631603717804 0.928631603717804 0.00200082743984939
"297" "SERPINB2" 0.928582012653351 0.928582012653351 0.00200072059106012
"298" "CYP24A1" 0.928556263446808 0.928556263446808 0.00200066511188108
"299" "SLC16A7" 0.92851334810257 0.92851334810257 0.00200057264658268
"300" "NCKAP1L" 0.928335070610046 0.928335070610046 0.00200018853032224
"301" "IL1R2" 0.928171694278717 0.928171694278717 0.00199983652006819
"302" "FABP1" 0.928108334541321 0.928108334541321 0.00199970000532902
"303" "SLCO1B1" 0.928107261657715 0.928107261657715 0.00199969769369656
"304" "CFTR" 0.928068280220032 0.928068280220032 0.00199961370438384
"305" "ADAMTSL3" 0.927948534488678 0.927948534488678 0.0019993557005165
"306" "KCNJ16" 0.927909314632416 0.927909314632416 0.00199927119750768
"307" "PPARGC1A" 0.927880108356476 0.927880108356476 0.00199920826973516
"308" "SPRR1B" 0.92781001329422 0.92781001329422 0.00199905724308111
"309" "NANOG" 0.92759507894516 0.92759507894516 0.00199859414604495
"310" "CEP135" 0.927564024925232 0.927564024925232 0.00199852723712763
"311" "LEFTY1" 0.927226543426514 0.927226543426514 0.00199780010029493
"312" "SIGLEC1" 0.926662564277649 0.926662564277649 0.0019965849521651
"313" "AOX1" 0.926548779010773 0.926548779010773 0.00199633979070031
"314" "KCNA3" 0.926515936851501 0.926515936851501 0.00199626902906223
"315" "FPR2" 0.926064789295197 0.926064789295197 0.00199529698761279
"316" "NME5" 0.925781965255737 0.925781965255737 0.00199468761561152
"317" "SFRP5" 0.925753593444824 0.925753593444824 0.00199462648577536
"318" "CYP39A1" 0.92570286989212 0.92570286989212 0.00199451719692961
"319" "SNAP25" 0.925602793693542 0.925602793693542 0.0019943015729907
"320" "SLC28A2" 0.925439417362213 0.925439417362213 0.00199394956273664
"321" "EVL" 0.925387322902679 0.925387322902679 0.00199383732013831
"322" "APOBEC2" 0.925383985042572 0.925383985042572 0.00199383012839288
"323" "PPBP" 0.92521345615387 0.92521345615387 0.00199346270725576
"324" "SLC4A4" 0.924946665763855 0.924946665763855 0.00199288788131736
"325" "EPM2A" 0.924877405166626 0.924877405166626 0.00199273865259967
"326" "SCG3" 0.924858391284943 0.924858391284943 0.00199269768533551
"327" "HAS2" 0.924682557582855 0.924682557582855 0.00199231883446012
"328" "CPVL" 0.924680948257446 0.924680948257446 0.00199231536701143
"329" "CRP" 0.924428284168243 0.924428284168243 0.00199177097756709
"330" "PGGT1B" 0.924241364002228 0.924241364002228 0.00199136823982294
"331" "PTGIS" 0.924127459526062 0.924127459526062 0.0019911228215101
"332" "STAP1" 0.924105942249298 0.924105942249298 0.00199107646043688
"333" "SV2B" 0.924007952213287 0.924007952213287 0.00199086533133886
"334" "GHR" 0.923929810523987 0.923929810523987 0.00199069696744136
"335" "CA3" 0.923911869525909 0.923911869525909 0.00199065831180966
"336" "CINP" 0.92370879650116 0.92370879650116 0.00199022077115459
"337" "CLDN18" 0.923562943935394 0.923562943935394 0.00198990651756405
"338" "CXCR6" 0.923363327980042 0.923363327980042 0.00198947642550246
"339" "GINS1" 0.923245310783386 0.923245310783386 0.00198922214593186
"340" "SERPINA4" 0.923177659511566 0.923177659511566 0.00198907638466285
"341" "CLGN" 0.9231076836586 0.9231076836586 0.00198892561485685
"342" "ANKRD1" 0.923023402690887 0.923023402690887 0.00198874402328471
"343" "HAS1" 0.92273074388504 0.92273074388504 0.00198811346131922
"344" "PRSS1" 0.922724783420563 0.922724783420563 0.00198810061891667
"345" "GPR87" 0.922612547874451 0.922612547874451 0.00198785879647654
"346" "MYL9" 0.922546625137329 0.922546625137329 0.00198771675950428
"347" "SCN7A" 0.922418653964996 0.922418653964996 0.00198744103312141
"348" "ONECUT1" 0.922393798828125 0.922393798828125 0.00198738748030275
"349" "SLC31A2" 0.922323107719421 0.922323107719421 0.00198723516940844
"350" "MAN1A2" 0.922265648841858 0.922265648841858 0.0019871113686478
"351" "PCK1" 0.922258377075195 0.922258377075195 0.00198709570091668
"352" "ME1" 0.922169983386993 0.922169983386993 0.00198690524808678
"353" "CA8" 0.92210441827774 0.92210441827774 0.00198676398165867
"354" "ATP10A" 0.922005653381348 0.922005653381348 0.00198655118304832
"355" "ASPA" 0.921873271465302 0.921873271465302 0.00198626595328756
"356" "CHGA" 0.92164146900177 0.92164146900177 0.00198576651225217
"357" "SCGN" 0.921620309352875 0.921620309352875 0.00198572092172309
"358" "CEL" 0.921386420726776 0.921386420726776 0.00198521698584681
"359" "RANBP6" 0.921054244041443 0.921054244041443 0.00198450127875238
"360" "HOXC10" 0.921013832092285 0.921013832092285 0.00198441420726305
"361" "MAP4K3" 0.920696258544922 0.920696258544922 0.00198372996405488
"362" "MAN1A1" 0.920544445514679 0.920544445514679 0.00198340286806179
"363" "KCNJ5" 0.920490384101868 0.920490384101868 0.0019832863874706
"364" "PKDREJ" 0.920458614826202 0.920458614826202 0.00198321793746498
"365" "ASPN" 0.92041951417923 0.92041951417923 0.00198313369130422
"366" "ADCY9" 0.920298993587494 0.920298993587494 0.00198287401792454
"367" "SLC19A3" 0.919912040233612 0.919912040233612 0.00198204028915062
"368" "MAPK12" 0.91956752538681 0.91956752538681 0.0019812979982829
"369" "CYP4F3" 0.919496953487396 0.919496953487396 0.00198114594423664
"370" "AQP9" 0.919472694396973 0.919472694396973 0.00198109367565824
"371" "SALL1" 0.919405341148376 0.919405341148376 0.00198094855650936
"372" "CCL11" 0.919283449649811 0.919283449649811 0.0019806859293771
"373" "GOLT1B" 0.919116258621216 0.919116258621216 0.00198032569998541
"374" "CLDN10" 0.918879091739655 0.918879091739655 0.00197981470078772
"375" "MEOX1" 0.918794810771942 0.918794810771942 0.00197963310921558
"376" "PLXNA2" 0.918664574623108 0.918664574623108 0.00197935250271974
"377" "GLS2" 0.918642520904541 0.918642520904541 0.00197930498583028
"378" "ELOVL2" 0.918617248535156 0.918617248535156 0.00197925053404344
"379" "CAMK4" 0.918567299842834 0.918567299842834 0.00197914291471003
"380" "GAL3ST4" 0.918281495571136 0.918281495571136 0.00197852712150748
"381" "CEACAM7" 0.918263137340546 0.918263137340546 0.00197848756690761
"382" "GKN1" 0.917949736118317 0.917949736118317 0.00197781231338123
"383" "C4BPA" 0.917898118495941 0.917898118495941 0.0019777010981751
"384" "CYP2C19" 0.917821884155273 0.917821884155273 0.00197753684384641
"385" "KCNB2" 0.917482793331146 0.917482793331146 0.00197680623956501
"386" "CPE" 0.917287409305573 0.917287409305573 0.00197638526560924
"387" "MFAP3L" 0.917028605937958 0.917028605937958 0.00197582764849027
"388" "NRN1" 0.916990160942078 0.916990160942078 0.00197574481499378
"389" "MYBPC1" 0.916871905326843 0.916871905326843 0.00197549002172708
